plot_id,year,species_id,status_id,dbh_class,count
1760-T1-0050,1991,ABA,D,12.5,7
1760-T1-0050,2009,ABA,D,12.5,1
1760-T1-0050,1991,ABA,D,17.5,4
1760-T1-0050,2009,ABA,D,17.5,1
1760-T1-0050,1991,ABA,D,22.5,5
1760-T1-0050,1991,ABA,D,2.5,2
1760-T1-0050,1991,ABA,D,7.5,7
1760-T1-0050,2009,ABA,D,7.5,1
1760-T1-0050,2009,ASP,D,12.5,1
1760-T1-0050,2009,ASP,D,7.5,4
1760-T1-0050,2009,BPA,D,17.5,1
1760-T1-0050,2009,BPA,D,22.5,1
1760-T1-0050,2009,BPA,D,32.5,1
1760-T1-0050,2009,BPA,D,47.5,1
1760-T1-0050,1991,BPA,D,7.5,1
1760-T1-0050,1991,TOC,D,12.5,1
1760-T1-0050,2009,TOC,D,12.5,1
1760-T1-0050,1991,TOC,D,7.5,1
1760-T1-0050,2009,TOC,D,7.5,1
1760-T1-0050,2009,ABA,A,0.5,1
1760-T1-0050,2009,ABA,A,12.5,2
1760-T1-0050,1991,ABA,A,22.5,1
1760-T1-0050,2009,ABA,A,2.5,3
1760-T1-0050,1991,ABA,A,7.5,2
1760-T1-0050,2009,ABA,A,7.5,18
1760-T1-0050,1991,ASP,A,0.5,18
1760-T1-0050,2009,ASP,A,0.5,7
1760-T1-0050,1991,ASP,A,2.5,47
1760-T1-0050,2009,ASP,A,2.5,28
1760-T1-0050,1991,ASP,A,7.5,5
1760-T1-0050,2009,ASP,A,7.5,4
1760-T1-0050,1991,BPA,A,12.5,1
1760-T1-0050,2009,BPA,A,12.5,1
1760-T1-0050,1991,BPA,A,17.5,2
1760-T1-0050,2009,BPA,A,17.5,1
1760-T1-0050,1991,BPA,A,22.5,2
1760-T1-0050,1991,BPA,A,27.5,1
1760-T1-0050,1991,BPA,A,7.5,1
1760-T1-0050,2009,PMA,A,7.5,1
1760-T1-0050,1991,TOC,A,12.5,1
1760-T1-0050,2009,TOC,A,12.5,3
1760-T1-0050,1991,TOC,A,17.5,1
1760-T1-0050,2009,TOC,A,17.5,2
1760-T1-0050,1991,TOC,A,22.5,1
1760-T1-0050,2009,TOC,A,22.5,2
1760-T1-0050,1991,TOC,A,27.5,1
1760-T1-0050,2009,TOC,A,32.5,1
1760-T1-0050,1991,TOC,A,7.5,5
1760-T1-0050,2009,TOC,A,7.5,1
1760-T1-0100,1991,ABA,D,12.5,2
1760-T1-0100,2009,ABA,D,12.5,1
1760-T1-0100,1991,ABA,D,17.5,2
1760-T1-0100,1991,ABA,D,22.5,1
1760-T1-0100,1991,ABA,D,2.5,2
1760-T1-0100,1991,ABA,D,7.5,6
1760-T1-0100,2009,ABA,D,7.5,1
1760-T1-0100,2009,ASP,D,7.5,4
1760-T1-0100,2009,BPA,D,27.5,1
1760-T1-0100,1991,BPA,D,37.5,1
1760-T1-0100,1991,TOC,D,12.5,2
1760-T1-0100,2009,TOC,D,17.5,1
1760-T1-0100,1991,TOC,D,7.5,1
1760-T1-0100,1991,ABA,A,0.5,1
1760-T1-0100,1991,ABA,A,12.5,1
1760-T1-0100,2009,ABA,A,22.5,1
1760-T1-0100,1991,ABA,A,7.5,1
1760-T1-0100,1991,ASP,A,0.5,15
1760-T1-0100,2009,ASP,A,0.5,18
1760-T1-0100,1991,ASP,A,2.5,19
1760-T1-0100,2009,ASP,A,2.5,19
1760-T1-0100,1991,ASP,A,7.5,2
1760-T1-0100,2009,ASP,A,7.5,4
1760-T1-0100,1991,CORYL,A,0.5,3
1760-T1-0100,2009,TOC,A,12.5,1
1760-T1-0100,2009,TOC,A,17.5,3
1760-T1-0100,1991,TOC,A,22.5,4
1760-T1-0100,2009,TOC,A,22.5,2
